Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Great presentation of the web dev landscape, thanks ! In the Java world : the Struts framework is really out of fashion, newer microframeworks are more popular such as Quarkus",UgwztscodbEzhAKP8UZ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Awesome video Brad, thank you. Something that not sure if you might be interested to talk about is security, it can be a deep topic but maybe just talking about security in websites in your general perspective, maybe some super basic concepts. Following this guide for 3 years now, thank you.",Ugw9bVF1j2-UMsJcHfJ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,This is a great roadmap of what I need to be learning and in what order. Just starting my journey towards (hopefully) becoming a full stack developer. Many thanks my dude 👍,Ugxjf0gYs0j85RsQorV4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Awesome roadmap as always Brad. Currently learning JavaScript and working my way up to become a software engineer. 💙💙,UgxGlCh89kyIdhIoWKR4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Hey Brad, I love your videos! Your videos are super helpful for new developers, and it will guide them to the right path rather than being lost in the void. You also inspired me to create my channel to help out new developers. Thanks for your awesome videos!",UgwRmyHiTDsQdMMjBNJ4AaABAg,0,6
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thanks, love these yearly videos to keep up to date with what people are using and what's coming up in the web development world 👍",UgxhBEBb16X8vOE9Kmt4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Brad, this is great stuff ... I love that you don't shy away from explaining things from a basic level even though your expertise and experience is well beyond into the expert arenas. I have a question if you don't mind and have the time to answer ... I'm looking for recommended web development forums where I can post related questions and receive quality answers generally. Any time you have a moment ... Thanks a bunch! 🙏 (PS: If you're already on one or more forums yourself  I wouldn't mind joining those! 👍)",UgxU8vGKYDpv7Js1K_J4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,I started taking your courses 2 years ago and then I Left coding last year. I was learning 3D. But Now this Video motivated me alot to get back to coding and find out new things... I always love your content.. Will keep supporting you❤️,UgxQi0ilji6p4QcsXT94AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thank you so much for the guide. Right now I am working as a load and performance tester. I wanted to change my career. I am very interested in two topics (Cybersecruity and Web Development) and I have average experience in both areas. I couldn't decide recently because I enjoy both very much. But then I decided that I enjoy web development a little more than cybersecurity. However, there are so many ""guides"" where I was just confused at first and I tried to learn the technologies without a roadmap. 

Your video was recommended to me randomly and I am very happy about it. Thank you very much. It really helped me a lot!",Ugx3dTClKrTt7I8f-EJ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,I love forward to this every year. Amazing to see where web dev is going for the future.,Ugze51xWpm6SsnABxIF4AaABAg,0,10
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you for doing this every year brad! It helps me to keep up with the latest trends on web development!,Ugxo42domDCHxhNmigN4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Sir, brad, you are truly an Idol and L.E.G.E.N.D to me. It’s amazed me that how humble you are. Apologising for a 1.30 hours long video where you have shared information which can not be earned in 2 years or more.. 

Thank you so much from the deepest part of my heart. I am already walking towards the Full stack web developer roadmap. I became your fan after watching the entire series of PHP front to back. Now learning MERN stack... 

If I would Become something in future then you would always be a part of my life... You already are just letting you know that the respect and love which I have for you never ever going to extinct ❤️",UgzPhg4bWESIVRgqKI14AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Excellent guide.  It's crazy how much there is to learn with webdev. I'm so outta the game with enterprise java.,UgwXSqlzZCmSxYbomDl4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Just finished a web dev bootcamp, this video is awesome! It made me feel confident in some areas and also highlighted what I need to learn and what I'm interested in looking into :) Appreciate all your work, Brad!",Ugxp4HCvY7OqtCP3Utp4AaABAg,1,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Brad, I really need to thank you for all your videos you put out for us as dev community. Your voice is amazingly calm, your way of explaining stuff is great, your English ist very clear, which makes it easy to understand (even as non native English speakers as I am), and last but not least, the content is always spot on. Thanks for all your work and keep it up.
Best regards from Munich",UgyQxKnoGqb7oPnYaRl4AaABAg,0,3
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Wow I can't believe another Year has gone by! As always Brad you have put together a great picture of where to be and whats ahead. I am coming up to 3 years your Patreon. Best money I ever spent. Thanks.,UgxdY2lv1BB6COE9-J14AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Amazing content. I loved the fact that you explained what each thing was, so that even someone who is brand new to web dev can make notes and follow along. I love the centralized information like this. Thank you for your hard work!",UgzxoeO6Eewxa0yaAeR4AaABAg,0,12
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"This is the most helpful yearly guide I have ever come across. Thanks Brad, for creating content of this quality it is greatly appreciated!",UgxkxRNzdANCAuPBfAJ4AaABAg,0,11
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"For somone who hasn't programmed for fifteen years, and is orienting again, this is very informative! So much to choose from! Thanks!

I think you didn't mention Java. Why is that?",UgwArFTFyEoqGfIPb0p4AaABAg,1,6
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Another great presentation from one of the best I have seen in this industry. Thanks Brad.,Ugwiv6V9tIe0tPaR-cF4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"This guide is so comprehensible and comprehensive, I would suggest this video to any project manager or middle management who need a ""bluffer's guide"" to web development.",Ugx4ORP4Ui5tTTz82m54AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thanks, Brad -- that's an awesome overview! Really useful & well explained!",UgzfZkVftDRGYFllWSZ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Wow what a tour de force overview of web technology Brad's video is! On the other hand, 25+ years after the web was born, what an overwhelmingly complicated and unmitigated cluster fuck of technology the web has become and continues to be. I cannot imagine what a daunting task it would be for someone starting out in the industry today to *master*  *any* of the complete paths from core concepts to a single front end and a single compatible back end that actually delivers a bug-free website, not to mention learning networking, security, UI principles, mobile, SEO, databases, not to mention the business of being in the web design and programming business. No wonder 40% of the web is built on Wordpress!",Ugylub2ViQlDqpIV0gd4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"I was so glad to see this as my first video as soon as I opened YouTube. Even YouTube know what has been the best part of my 2021 :) (and was equally glad to see Brad's tweet early morning!). Oh my god such a nostalgic feeling on this video! 2021's guide has been such a guide to me in low days of my life where I was blank. All thanks and wishes to you, Brad. You're an amazing human being. I wish you and your loved ones a very happy and healthy 2022!",UgxQ8PpekZ-xoJ22g0d4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,I always look forward to this! It's interesting to see how things have changed in web development.,Ugw86QffAJ-bMrD0VLZ4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Excellent overview of FE,BE & FS development, very informative for someone starting in the industry",UgwCN2xR2JHjUUyXOQ14AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Feel like PostCSS will become the new Sass because of how it is used with Tailwind, it may be included by default in a ton of new projects in 2022. And personally, I love Tailwind but I'm not a fan of having all that classes in my HTML code, even in my React components so I use the @apply a lot... and organize my PostCSS with plugins like   postcss-import and tailwindcss/nesting",Ugxf6UxlMdztsAlcWNF4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Just watch the video I love how you make all these technologies approachable. In the past I've watched your tutorials to get a feel for learning something new when I need to at a job. When the boss wanted an app to capture driver license info to sell to dealerships. I chose Ionic so I could have one code base and compile to Android and iOS your videos really helped me and I was able to pull it off working alone on the project. Its ultimately didn't get used, and the owner sold the company, but I felt like I really accomplished something. I really appreciate your channel and all the work that has gone into making these videos. Thank you.",Ugw9pa3lShPuqQdM0sx4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,It's always suggested to have a broad overview before going in depth and this video accomplished that subject! Thank you and well done :),Ugzwk3Kg0ebr9p4YoMx4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Finally it is here....all the best everyone....let's hope we all become a good web developer at the end of this year....👍😊,Ugzh1t311sGhdHZaSrJ4AaABAg,3,46
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,The most comprehensive summary of technologies I have ever seen. thanks! It is good to keep up to date with the evolving technologies.,UgwjVaDmn7ghefxLYMJ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"how interesting and fun, this guide is?! can't  thank you enough Brad!",UgzB8nuKXk_tX6KKn3l4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,This guide really gave me a great idea on how to channel and segment my learning for this year. Thanks alot Brad!,UgwTw_NnGPTen_8Yeid4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Amazing walkthrough!!! Thank you sooo much, now it actually makes sense what technologies are involved and what the purpose is, they fulfill.",UgzTDyarklbbGb6LL_x4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Your video helped me a lot in getting a very complete overview of this whole topic and I appreciate it. Great work.,Ugyn9QCEzZ9JOJITNWd4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you for continuing to do these.  They're a fantastic summary for both myself and to recommend to other people,UgwJX5rWxiFYeilb4gl4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Hello.
Thank you for the tutorials, they have been most helpful to me. Please, do you know how I can restrict user registration to only institutions? Like you can only register if you have an email with a institution. Also, any idea how I can set it up so that, when the link of my website is shared, a thumbnail picture along with a little write-up pops up? Thank you.",Ugyjzj8Ewa3E0bemqvN4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,I was waiting for this video like i did since 2019. A great contribution to the community. The idea for ebook is even better. God bless you and your family.,UgzuVFDqrrwvcCps_tZ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Damn this was good. 2021 I did html, php and mysql so 2022 will be js and css learning year. They should use this for schools so students get a better view of what programs to use",Ugw6xb_gZ9OctzinKgl4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Incredibly informative video! So complete and concede, thank you so much!",UgzMV70GD9TYOw1wK1J4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,The 2019 web dev roadmap Brad made back in the day was literally my bible. I feel like I owe him a million dollars.,UgwmM2ZbWX0Cl7qimGp4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thanks Brad! Great video! I am learning to code for cybersecurity reasons and web application pentesting. For example OWASP top 10, understanding SQLi you have to understand how web applications work and how they can exploited. To work in web application security you have to understand the code full stack, that's what I am working toward. Your courses are helping me achieve that goal. Thanks so much!",UgyP6WzveguGVnhTiLt4AaABAg,0,8
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Sir, your video is helping me to take my decision about what programming field I'll choose for my future, thanks a lot !",UgyOObpdXPv2Z9zcM7p4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Awesome video ! I started watching this yearly video back in 2019 and it’s really great to stop for a few minutes at the beginning of each year to get an overview of how things stand on the web dev scene. Thank you Brad!,UgzvPKBLYzxZi38783F4AaABAg,0,6
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"This is so well done, helped me out a lot, thank you!",UgwGAZQNPgM0p8fxG954AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"one of the must-watch vids when entering 2022, thanks for creating it!",UgwQn0tdYtfxG1IbyZN4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Brad your way of teaching tech, has become a template for us ❤",UgynSBpEiVNmDX2hWXd4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thank you for the classes on Udemy. I would get all of your classes if I could. 
Continue learning so you can continue to teach us. 
Thanks!🙏😄",UgzZowluzdQpSX_2D6N4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Very helpful for aspiring web developer. Thank you Brad.,UgzsTE4R4EIjAqeeCS14AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Your videos are amazing ❣️ I learning so much from you from past 2 years , thank you so much for making these videos free , you have no idea how much this helps since I can't afford any paid ones , thank you ✨❣️ have a nice day and stay blessed",UgwYg04xrrByo5g7p294AaABAg,1,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Decided to try web development in 2022. Your video is fantastic, gives an idea of where to start!",UgxaZ_qH8eVZdsNUXmt4AaABAg,0,3
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"You cant even imagine at what perfect timing you uploaded... i was literally thinking about when will you upload the web dev guide and then suddenly... boom! notification appears. anyways, thanks a lot!",Ugzy-NAiPuUMa3lPIBt4AaABAg,1,46
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thank you so much! I find the length of the video perfect, regarding it's topic. You mentioned and explained in detail very important and practical things!",Ugzqm3VYF6rW6s8oOwp4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,I love that you put it on your website. This is really epic! Makes it so easy to choose what you want to learn compared to just browsing YouTube!,Ugzv5oc88kZj_MydDK54AaABAg,1,5
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thank you so much for making these every year, so helpful !",UgzYqAqGAWU1fr-JQNd4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,This is an amazingly comprehensive guide to the web development landscape in 2022.,UgyW1j8jFbWXFJxsG0h4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"I was actually waiting for this, really needed it. Thank you Brad.",UgwCJmdjOjw9co4sFGd4AaABAg,0,3
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you again for another great post. Great content. No BS. I’ve watched hours of other videos. None are as content rich. A huge resource.,UgxTYi_8Cy_c-_snIgR4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Awesome video Brad! Thanks for such a wide coverage this year!,UgyJdAPYyV0zXBTfXld4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you and your team for everything  you learned to us ❤❤❤,UgyGltUZTCVhIPMftuh4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Love these videos. Started learning web development in early 2021 during lockdown, mostly from this channel. I've made several websites along the way, from JS and CSS only to full-stack Svelte + Python backend + API database. I can tick all the boxes on Front-end Developer, but I still to work on the database and authorisation stuff. Web3 also looks very promising, albeit VERY early. Excited to see where it goes and where I go in the future.

Thanks Brad!",UgxYkeuDIYioKJME-cZ4AaABAg,4,2
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Can you make in more in depth tutorial on Server-Side Rendering and how it can replace Singe Page Apps?,UgyJ742mLFOnLWkiQyJ4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Finally! Thank you Brad for everything you do.,UgwcH2Q4rJz8tPw4IAV4AaABAg,1,10
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Amazing, thanks for the extra details as always.",UgxgWqODyI0R_kfdP6x4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you for the great overview Brad. I was searching for a roadmap like that. Additionaly you deliver all the courses to get started. This is really awsome. I just invested in all the payed course that are mentioned in the description to get the ball rolling. This realy motivates me. Thank you for the hard & quality work! It's really appriciated.,Ugw6viHtVuqpas30Lk14AaABAg,0,2
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"I was just thinking ""Oh im excited for web dev in 2022"" right before finding this lol. Thanks for all the work, hope 2022 is the best one yet!",UgxdjJ-dawXsn0nCA0J4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thank you, Brad. Very, very useful!",Ugy5ENs59yLhX4JxR2x4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"I wait for this video every start of the year so far the best video of 2022, what a great content Brad, i wait for this one more than the premiere of Eternal on Disney+.",Ugyen-vbydcktmjoov54AaABAg,0,0
